annotation_id;annotator;classification1;classification2;classification3;classification4;created_at;id;lead_time;textlabel;updated_at
1;1;Есть;Пограничное;Ситуативное;Казахский;30.01.2026 13:21;3;172.9;?асында?ы “кИргизский язык”ынан білгем;17.02.2026 18:06
2;1;Есть;Пограничное;Ситуативное;Русский;30.01.2026 13:22;4;27.714000000000002;Также на казахском физкультура – это «дене т?рбиесі»;17.02.2026 18:06
3;1;Есть;Пограничное;Ситуативное;Казахский;02.02.2026 16:06;5;21.554;?тік-утюг дейсин го;17.02.2026 18:06
4;1;Нет;;;Казахский;02.02.2026 16:17;6;646.81;Сірінке Картоп ?ызана? Дене шыны?тырушы;17.02.2026 18:06
5;1;Есть;Внутреннее;Ситуативное;Казахский;02.02.2026 16:18;7;72.38;мені? маманды?ым бу?алтер. мен п?мілдірді ?атты жа?сы к?ремін.;17.02.2026 18:06
6;1;Нет;;;Казахский;02.02.2026 16:18;8;12.633;Кайрат Бекзат ол казахпа ?аза?па?;17.02.2026 18:07
7;1;Есть;Внутреннее;Метафорическое;Казахский;02.02.2026 16:19;9;14.623999999999999;Красавчикгой;17.02.2026 18:07
8;1;Есть;Внутреннее;Ситуативное;Казахский;02.02.2026 16:27;10;783.193;ДЕТИлер ?айда ;17.02.2026 18:12
9;1;Есть;Пограничное;Метафорическое;Казахский;02.02.2026 16:27;11;13.371;ЧЁТ ?намай т?рсы?;17.02.2026 18:12
10;1;Есть;Пограничное;Метафорическое;Казахский;02.02.2026 16:27;12;22.095;?азір “ОК па “ деген шы?ты ?ой еще арасында “сорЯн “ “сорри” і бар ;17.02.2026 18:12
11;1;Есть;Пограничное;Метафорическое;Казахский;02.02.2026 16:30;13;139.64600000000002;Красавчик болып баратсын го чет мен;17.02.2026 18:12
12;1;Есть;Пограничное;Ситуативное;Казахский;02.02.2026 16:32;14;120.486;Сомнениян бар ма? Обосновать етип бер! ;17.02.2026 18:14
13;1;Есть;Внутреннее;Ситуативное;Казахский;02.02.2026 16:32;15;9.142;Ту?леттті? ?асындамын;17.02.2026 18:14
